,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2,observed
1,0,1,11,8,9.759679096671501,0,1.3416513198827738,0.5001606777004932,0
2,1,1,4,6,2.73426893798964,1,-0.43139399784631355,-0.3773301950424761,0
3,2,1,2,6,1.2521181226381646,0,-0.38892511874896935,-1.3176232243308639,0
4,3,1,11,9,10.532825660285097,0,1.5228587802005111,0.6764596933142676,0
5,4,1,11,9,10.92475292926673,0,1.585103457625451,0.4013181969418421,0
6,5,1,4,7,3.7376456842642902,1,0.10785104870446496,-0.3405116893740955,0
7,6,1,3,7,0.28172533353213036,1,-1.2738470347516686,-0.20099258583635637,0
8,7,1,5,8,2.933359255367828,0,0.07277640397516989,-0.2794902569100817,0
9,8,1,2,7,0.5259827748564447,0,-1.4089539552879786,-0.6050076402176644,0
10,9,1,7,9,6.768302237858189,0,1.8811453520238437,-0.8746793724136456,0
11,10,1,6,9,5.224311300444178,1,0.6247760618652156,-0.09567798919434124,0
12,11,1,3,8,1.0269150478877367,1,-0.5782088125211384,-0.7170215270615663,0
13,12,1,7,9,4.830475084152489,0,-0.2175999530436235,0.10869604293930821,0
14,13,1,12,10,7.659196998662839,0,1.3327513651882432,-0.2123704286196037,0
15,14,1,12,10,8.090265113358386,1,0.621001724790471,-0.002462167390006659,0
16,15,1,12,10,8.033728133080796,0,1.7206657116048747,-0.34686853580522903,0
17,16,1,4,8,3.163632759066668,0,0.04902842317058383,-0.3064004645942017,1
18,17,1,8,9,7.337188792027719,1,0.6368520608193066,0.08310849606587353,0
19,18,1,9,9,7.63926900704709,0,0.7579970624471613,-0.191609732813728,0
20,19,1,5,7,4.660553695208313,1,-0.09699463421754578,0.003337042852072778,1
21,20,1,0,1,-0.2205877109254582,1,-1.5426068796211037,0.0040958195380097285,1
22,21,1,9,8,8.738196350518944,1,-0.23913004304503083,1.401692644334305,0
23,22,1,3,4,2.6705447956319777,0,0.7829420296773401,-0.9657400365101871,1
24,23,1,2,2,1.6498689616403444,1,0.12957398612592547,-0.8521875694222235,0
25,24,1,9,6,8.32809182364122,0,0.3908655587682792,0.7999718059874241,0
26,25,1,11,7,10.364807811798807,0,-0.056623718713889985,1.4783129062405602,1
27,26,1,4,3,3.9637078294992354,1,0.5988982822310791,-0.47855198414736744,0
28,27,1,10,5,6.084222783747477,1,-0.8634386306167733,0.9202117132186854,0
29,28,1,6,4,5.59993851792051,0,0.4705709679952593,-0.10049254848038289,0
30,29,1,11,5,8.731130902849678,1,1.0192054330650793,0.04616970738897931,0
31,30,1,8,4,6.063865080995143,1,0.550604749903037,0.5769013344439735,0
32,31,1,8,4,7.007643421654589,0,-0.3886558120543994,0.8228275629365595,0
33,32,1,0,1,-1.241439649555168,1,-1.4239233332845305,0.021726948327786214,1
34,33,1,2,2,1.1327911787683989,1,0.09661257548853293,-1.1458013889868939,0
35,34,1,7,3,6.521446654152451,1,0.027355059806794018,0.7291213068566064,0
36,35,1,2,2,1.0095220132467977,1,-0.3816629785782066,-0.5238495492714177,0
37,36,1,0,1,-0.7351966615045465,0,0.6456893127273365,-2.229827349724524,1
38,37,1,8,3,4.519278416035535,1,0.839433625200488,0.10287216062708063,0
39,38,1,3,2,1.7388337585823537,1,-0.7768519589867636,0.5504148289085241,0
40,39,1,11,4,9.554946854394053,0,1.6548365900127924,-0.7227051263097716,0
41,40,1,2,2,0.409301874563214,1,-0.5994104181561324,-0.31956041790974593,0
42,41,1,3,2,2.705374392621631,0,-0.33418892737863465,-0.6483968866623698,0
43,42,1,6,3,5.993800956041806,1,0.15623627778091834,0.20755331302345928,0
44,43,1,10,4,9.354292991345076,0,1.2854615174595536,0.055597175357519756,0
45,44,1,0,1,-2.47486267159553,0,-0.5251327598861252,-1.3653335455774966,1
46,45,1,10,4,9.98227967597222,0,0.2216657970284863,1.0387285673538098,0
47,46,1,10,4,7.688523014698443,0,-0.24956027189808025,1.4872701880540293,0
48,47,1,10,4,6.3786316095626665,0,-0.052328938238836074,0.48343857321197603,0
49,48,1,5,3,1.7694709984042687,0,0.22708650500400052,-1.018275636426869,0
50,49,1,4,3,3.3709161768276252,0,-0.4200468610534002,-0.30116802336066006,0
51,50,1,2,2,0.9442042714106987,1,-0.9771542884691609,0.050782903310721494,0
52,51,1,5,3,4.655971310897913,1,0.9624231087031512,-0.8007696380523339,0
53,52,1,1,2,0.7259655591276353,0,-1.5866362849667075,0.10781551243067304,1
54,53,1,5,3,3.102873075775561,1,0.2493470367016359,-0.5295207558188921,0
55,54,1,12,4,6.797274158290108,0,0.5239225718456821,0.8101869680193113,0
56,55,1,1,2,0.20438562204619526,1,-0.7109800066011541,0.13760404666403245,1
57,56,1,0,1,-2.821519169253068,1,-0.760595298649151,-1.5240251483788618,1
58,57,1,12,4,7.467295762094311,1,0.22509846719536397,1.1391715137548442,0
59,58,1,6,3,5.131694231007868,0,0.7997851793245796,-0.3578936168643892,0
60,59,1,6,3,5.545397854063386,0,-0.3982683787578376,0.30399478444605715,0
61,60,1,2,2,1.5614750173973664,1,-0.7726961966531096,0.3304995759062323,0
62,61,1,6,3,5.62797939690901,0,0.315882704943138,0.16048843020138617,0
63,62,1,2,2,0.017624811962305954,1,-0.9424427784021004,-0.3961108628258984,0
64,63,1,0,1,-3.7834607192914573,0,-1.6266628020328344,-1.1179614627924952,1
65,64,1,11,4,8.629757155952543,1,0.6916690634961373,0.9330184363669272,0
66,65,1,14,5,11.235138216813333,0,0.03827651284862604,1.931032016061966,0
67,66,1,11,4,7.902643649774906,1,1.8352358816006793,-0.2529109641976105,0
68,67,1,4,2,2.88847875550032,0,-0.6099717877568712,0.13027505373785264,0
69,68,1,11,4,8.840319605822986,0,1.3867478200214813,0.3679269557076659,0
70,69,1,4,2,3.725951643282753,1,-1.355420814827379,1.6477491472309067,0
71,70,1,0,1,-1.6844073085176388,1,-0.3504153491902796,-1.4016740699262225,1
72,71,1,6,3,4.750496164199994,0,0.17271982337112096,-0.12258652303637672,0
73,72,1,6,3,4.69081679567209,0,0.6222588398132046,-0.8207441685328933,0
74,73,1,0,1,-1.1652380547367212,1,-0.8118567503244293,-0.6031683025073206,1
75,74,1,0,1,-3.1734948586569365,0,-0.011584742825535642,-2.599984258937951,1
76,75,1,3,2,1.4138192770542726,1,0.5579991583670333,-1.0588211525943538,0
77,76,1,7,4,5.092085430602847,1,-0.05352291944088894,0.6216217035461903,0
78,77,1,9,12,8.820895371342562,0,-0.5448714324299216,1.6288026061513778,1
79,78,1,7,8,6.892902243754346,0,-0.9890996313265635,1.8049052007408397,1
80,79,1,8,12,7.471884942214434,1,1.015230930810174,0.19178409196295443,1
81,81,1,10,13,9.268051449154514,0,0.4739138090960557,0.8885567454742691,0
82,82,1,10,13,6.156702032777549,1,-1.2285599122887738,1.7365066844129082,0
83,83,1,11,13,8.08297183379005,1,1.4861273252041907,0.1733552983438611,0
84,84,1,5,11,4.072635451202971,1,-0.07852210635784419,-0.12066965775993034,1
85,85,1,3,9,2.1494775028617896,0,-0.801987361282994,-0.14182343652914797,1
86,86,1,7,12,5.276361998780522,1,0.3826927101829309,0.437043542904443,0
87,87,1,10,13,8.64328784631106,0,-0.34619921114371455,0.9973359964430201,0
88,88,1,0,1,-0.21669279918954354,1,-0.6733740641464554,-0.8823620104442571,1
89,89,1,10,12,8.878067692582796,1,0.6134754041926229,1.1546335327634087,0
90,90,1,7,10,6.8753437909815664,0,-0.1225411783724341,0.7272577050599351,1
91,91,1,3,2,2.427738087627736,1,0.07047194956081111,-0.4821542985487361,0
92,92,1,11,11,10.807448858905717,1,1.052800416805352,1.6098359307752714,1
93,93,1,9,9,7.799631006568042,1,0.19998556358415065,0.9094774426348057,0
94,94,1,8,8,7.167128841397726,1,0.16369123293396812,0.9148724226921214,1
95,95,1,4,2,0.8084973068639658,0,-0.07186733035485597,-1.287110536269609,0
96,96,1,8,7,7.37111143527353,0,0.8588262824314556,0.046218136595444784,0
97,97,1,0,1,-2.2465283636626996,0,-0.6272635562193688,-1.5131374941703717,1
98,98,1,0,1,-0.1416589607576424,0,-0.654930486946529,-0.714577453962777,1
99,99,1,5,5,4.643885869047767,0,0.6282728438337389,-0.9327477803782213,1
100,100,1,12,8,11.664546173200296,0,0.9383832477892592,1.1429728556827095,0
101,101,1,9,6,8.389687932872564,1,0.5121329634995827,0.978393297564153,0
102,102,1,10,6,8.61990655869617,0,0.3906102007793609,0.6300339715552014,0
103,103,1,3,3,2.685330895664652,0,-0.016828901477576208,-1.3699657682143977,1
104,104,1,5,4,4.219710226655402,1,0.5908702849732982,-0.26740623824049425,0
105,105,1,7,5,6.404748893135444,0,-1.161448092647289,1.5604630235644397,0
106,106,1,13,7,12.86402440505538,1,1.1036026810097221,1.2604968319339478,0
107,107,1,1,2,0.612212723989777,1,-0.5204791629042541,-1.095288366884932,1
108,108,1,3,3,2.429437502146897,0,-0.04336509513335619,-0.7278600784157542,0
109,109,1,9,5,6.658964988664152,0,-0.9596156245846322,1.7173814032329555,0
110,110,1,7,4,6.10829659574753,0,0.6658123348412681,-0.28911855190456043,0
111,111,1,10,5,7.389414714003897,0,1.031940908116554,0.2157380010962809,0
112,112,1,0,1,-3.948724127960158,1,-0.7957376343939042,-1.8867137438377164,1
113,113,1,12,5,8.299034619546465,0,1.8198066400776898,-0.8458630699894415,0
114,114,1,7,3,6.286449257402431,0,0.7467746419643498,-0.8162074613323955,0
115,115,1,3,2,2.029529695352607,0,-0.7874962453955747,-0.29926843404347975,0
116,116,1,9,4,7.357697640323532,1,0.062452833480983586,1.0397593442716928,0
117,117,1,4,2,1.4053435828153724,1,0.001456927286301718,-0.748980360377904,0
118,118,1,0,1,-3.475667598860704,1,-1.3232808147117536,-0.8082098868500811,1
119,119,1,11,4,7.7218038017535635,0,1.2639903588438124,0.004921497585393545,0
120,120,1,0,1,-3.5178458761541296,1,0.060823979332268546,-2.5025332872998347,1
121,121,1,3,2,1.7393071188692293,1,0.2289574523265961,-1.0398385153989766,0
122,122,1,7,3,5.882789405150698,1,-0.6792202389656022,0.8123589373529689,0
123,123,1,0,1,-2.0385585995240296,0,-1.5787878530410004,-0.9897774185489008,1
124,124,1,8,3,7.923920394654664,0,-0.6938109727799715,1.7184152621374373,0
125,125,1,7,3,4.383472138769452,1,0.113494750052689,-0.09633765641426706,0
126,126,1,10,4,7.3798177021623985,0,-0.1167425219238208,1.5137483620802246,0
127,127,1,4,2,1.3687418526543604,1,0.17876007864646135,-0.7429132685335711,0
128,128,1,10,4,7.056076457267372,1,1.534846181338243,-0.14325358354429113,0
