,city,adoption date,med_sch_yr,meetings,jours,free_time,discuss,clubs,friends,community,patients,proximity,specialty,activation delay,correctly measured,exposure at adoption,last period activations
0,1,1.0,2.0,2.0,8.0,1.0,1.0,0.0,1.0,6.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0
1,1,12.0,6.0,0.0,4.0,3.0,2.0,0.0,4.0,1.0,4.0,3.0,1.0,7.0,1.0,2.0,1.0
2,1,8.0,4.0,1.0,6.0,3.0,1.0,0.0,3.0,5.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0
3,1,9.0,5.0,1.0,5.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0
4,1,9.0,4.0,1.0,3.0,1.0,2.0,0.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0
5,1,10.0,3.0,0.0,6.0,2.0,2.0,0.0,1.0,5.0,5.0,3.0,2.0,4.0,1.0,2.0,1.0
6,1,18.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,6.0,6.0,2.0,1.0,3.0,1.0,5.0,1.0
7,1,3.0,4.0,0.0,8.0,2.0,2.0,0.0,1.0,5.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0
8,1,11.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,6.0,1.0,2.0,3.0,2.0,0.0,5.0,2.0
9,1,2.0,4.0,1.0,3.0,2.0,1.0,0.0,4.0,5.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0
10,1,4.0,2.0,2.0,8.0,2.0,2.0,0.0,2.0,6.0,5.0,4.0,2.0,0.0,1.0,2.0,1.0
11,1,5.0,5.0,0.0,3.0,1.0,2.0,0.0,1.0,4.0,6.0,1.0,1.0,4.0,1.0,0.0,0.0
12,1,2.0,6.0,1.0,8.0,1.0,1.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0
13,1,15.0,5.0,1.0,2.0,3.0,2.0,0.0,4.0,4.0,5.0,3.0,1.0,6.0,1.0,2.0,1.0
14,1,4.0,4.0,0.0,4.0,2.0,2.0,0.0,1.0,5.0,6.0,,1.0,0.0,1.0,1.0,1.0
15,1,15.0,5.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,6.0,1.0,3.0,1.0
16,1,18.0,4.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,5.0,2.0,1.0,9.0,1.0,2.0,1.0
