,constant,error_sd,k,naive_rmse,rmse_at_k,run_num,sim_network,true_rmse,var1_coef,var1_sd
0,5.0,2.0,20,6.71011893854,6.083466592,669,20_1000_ws_0-1,1.99712150505,3.0,1.0
1,5.0,2.0,30,6.71011893854,6.083466592,669,20_1000_ws_0-1,1.99712150505,3.0,1.0
2,5.0,2.0,40,6.71011893854,5.84918577286,669,20_1000_ws_0-1,1.99712150505,3.0,1.0
3,5.0,2.0,50,6.71011893854,4.41338723139,669,20_1000_ws_0-1,1.99712150505,3.0,1.0
4,5.0,2.0,60,6.71011893854,3.62356684899,669,20_1000_ws_0-1,1.99712150505,3.0,1.0
5,5.0,2.0,20,6.5493244027,5.62090674586,816,20_1000_ws_0-1,1.98631779125,3.0,1.0
6,5.0,2.0,30,6.5493244027,5.54270094619,816,20_1000_ws_0-1,1.98631779125,3.0,1.0
7,5.0,2.0,40,6.5493244027,4.6998280414,816,20_1000_ws_0-1,1.98631779125,3.0,1.0
8,5.0,2.0,50,6.5493244027,3.79434708763,816,20_1000_ws_0-1,1.98631779125,3.0,1.0
9,5.0,2.0,60,6.5493244027,3.15798930792,816,20_1000_ws_0-1,1.98631779125,3.0,1.0
10,5.0,2.0,20,6.49585963785,6.32973354666,818,20_1000_ws_0-1,2.02043605389,3.0,1.0
11,5.0,2.0,30,6.49585963785,6.25408425348,818,20_1000_ws_0-1,2.02043605389,3.0,1.0
12,5.0,2.0,40,6.49585963785,6.02090928929,818,20_1000_ws_0-1,2.02043605389,3.0,1.0
13,5.0,2.0,50,6.49585963785,3.74761546697,818,20_1000_ws_0-1,2.02043605389,3.0,1.0
14,5.0,2.0,60,6.49585963785,2.67079660491,818,20_1000_ws_0-1,2.02043605389,3.0,1.0
15,5.0,2.0,70,6.49585963785,2.30244547964,818,20_1000_ws_0-1,2.02043605389,3.0,1.0
16,5.0,2.0,20,6.51054130839,6.14155926058,529,20_1000_ws_0-1,1.89116807653,3.0,1.0
17,5.0,2.0,30,6.51054130839,5.22375377217,529,20_1000_ws_0-1,1.89116807653,3.0,1.0
18,5.0,2.0,40,6.51054130839,3.89016848488,529,20_1000_ws_0-1,1.89116807653,3.0,1.0
19,5.0,2.0,50,6.51054130839,3.33761910912,529,20_1000_ws_0-1,1.89116807653,3.0,1.0
20,5.0,2.0,60,6.51054130839,2.92337216148,529,20_1000_ws_0-1,1.89116807653,3.0,1.0
21,5.0,2.0,20,6.55838710348,6.14406198668,528,20_1000_ws_0-1,2.01538500356,3.0,1.0
22,5.0,2.0,30,6.55838710348,6.1731555597,528,20_1000_ws_0-1,2.01538500356,3.0,1.0
23,5.0,2.0,40,6.55838710348,5.24969532144,528,20_1000_ws_0-1,2.01538500356,3.0,1.0
24,5.0,2.0,50,6.55838710348,2.76944514065,528,20_1000_ws_0-1,2.01538500356,3.0,1.0
25,5.0,2.0,60,6.55838710348,2.26496846364,528,20_1000_ws_0-1,2.01538500356,3.0,1.0
26,5.0,2.0,20,6.44832540646,6.34929609357,521,20_1000_ws_0-1,2.01038023424,3.0,1.0
27,5.0,2.0,30,6.44832540646,6.31096542075,521,20_1000_ws_0-1,2.01038023424,3.0,1.0
28,5.0,2.0,40,6.44832540646,4.79962758249,521,20_1000_ws_0-1,2.01038023424,3.0,1.0
29,5.0,2.0,50,6.44832540646,3.64850153536,521,20_1000_ws_0-1,2.01038023424,3.0,1.0
30,5.0,2.0,60,6.44832540646,3.06172614503,521,20_1000_ws_0-1,2.01038023424,3.0,1.0
31,5.0,2.0,70,6.44832540646,2.88459313514,521,20_1000_ws_0-1,2.01038023424,3.0,1.0
32,5.0,2.0,80,6.44832540646,2.28691386524,521,20_1000_ws_0-1,2.01038023424,3.0,1.0
33,5.0,2.0,20,6.44568102995,5.97332345412,520,20_1000_ws_0-1,2.01338729363,3.0,1.0
34,5.0,2.0,30,6.44568102995,4.37720692454,520,20_1000_ws_0-1,2.01338729363,3.0,1.0
35,5.0,2.0,40,6.44568102995,3.7496540409,520,20_1000_ws_0-1,2.01338729363,3.0,1.0
36,5.0,2.0,50,6.44568102995,3.26515719554,520,20_1000_ws_0-1,2.01338729363,3.0,1.0
37,5.0,2.0,60,6.44568102995,3.02826876002,520,20_1000_ws_0-1,2.01338729363,3.0,1.0
38,5.0,2.0,70,6.44568102995,2.69033142525,520,20_1000_ws_0-1,2.01338729363,3.0,1.0
39,5.0,2.0,80,6.44568102995,2.43403282803,520,20_1000_ws_0-1,2.01338729363,3.0,1.0
40,5.0,2.0,20,6.83770422608,6.09761655472,523,20_1000_ws_0-1,1.96471120072,3.0,1.0
41,5.0,2.0,30,6.83770422608,5.66184496096,523,20_1000_ws_0-1,1.96471120072,3.0,1.0
42,5.0,2.0,40,6.83770422608,5.22850383861,523,20_1000_ws_0-1,1.96471120072,3.0,1.0
43,5.0,2.0,50,6.83770422608,4.06616050664,523,20_1000_ws_0-1,1.96471120072,3.0,1.0
44,5.0,2.0,60,6.83770422608,2.39019274482,523,20_1000_ws_0-1,1.96471120072,3.0,1.0
45,5.0,2.0,70,6.83770422608,2.10487077236,523,20_1000_ws_0-1,1.96471120072,3.0,1.0
46,5.0,2.0,20,6.70456758276,6.05464608669,522,20_1000_ws_0-1,2.06660667823,3.0,1.0
47,5.0,2.0,30,6.70456758276,5.85784849633,522,20_1000_ws_0-1,2.06660667823,3.0,1.0
48,5.0,2.0,40,6.70456758276,5.38937659748,522,20_1000_ws_0-1,2.06660667823,3.0,1.0
49,5.0,2.0,50,6.70456758276,4.75309125078,522,20_1000_ws_0-1,2.06660667823,3.0,1.0
50,5.0,2.0,60,6.70456758276,3.55984063432,522,20_1000_ws_0-1,2.06660667823,3.0,1.0
51,5.0,2.0,70,6.70456758276,2.5620179741,522,20_1000_ws_0-1,2.06660667823,3.0,1.0
52,5.0,2.0,20,6.44147649083,6.05731757597,525,20_1000_ws_0-1,1.98523484138,3.0,1.0
53,5.0,2.0,30,6.44147649083,6.00293855536,525,20_1000_ws_0-1,1.98523484138,3.0,1.0
54,5.0,2.0,40,6.44147649083,5.1965586356,525,20_1000_ws_0-1,1.98523484138,3.0,1.0
55,5.0,2.0,50,6.44147649083,4.26830703993,525,20_1000_ws_0-1,1.98523484138,3.0,1.0
56,5.0,2.0,60,6.44147649083,3.54140948002,525,20_1000_ws_0-1,1.98523484138,3.0,1.0
57,5.0,2.0,70,6.44147649083,2.58298003788,525,20_1000_ws_0-1,1.98523484138,3.0,1.0
58,5.0,2.0,80,6.44147649083,2.09340098955,525,20_1000_ws_0-1,1.98523484138,3.0,1.0
59,5.0,2.0,20,6.27353684473,5.9661127447,524,20_1000_ws_0-1,2.05783386147,3.0,1.0
60,5.0,2.0,30,6.27353684473,5.06604378988,524,20_1000_ws_0-1,2.05783386147,3.0,1.0
61,5.0,2.0,40,6.27353684473,4.88006611531,524,20_1000_ws_0-1,2.05783386147,3.0,1.0
62,5.0,2.0,50,6.27353684473,3.03462112456,524,20_1000_ws_0-1,2.05783386147,3.0,1.0
63,5.0,2.0,60,6.27353684473,2.6065582672,524,20_1000_ws_0-1,2.05783386147,3.0,1.0
64,5.0,2.0,20,6.79692574164,6.06689669087,527,20_1000_ws_0-1,1.91503017488,3.0,1.0
65,5.0,2.0,30,6.79692574164,5.8051440977,527,20_1000_ws_0-1,1.91503017488,3.0,1.0
66,5.0,2.0,40,6.79692574164,4.56281885132,527,20_1000_ws_0-1,1.91503017488,3.0,1.0
67,5.0,2.0,50,6.79692574164,3.67321659348,527,20_1000_ws_0-1,1.91503017488,3.0,1.0
68,5.0,2.0,60,6.79692574164,3.17367737693,527,20_1000_ws_0-1,1.91503017488,3.0,1.0
69,5.0,2.0,70,6.79692574164,2.32434380727,527,20_1000_ws_0-1,1.91503017488,3.0,1.0
70,5.0,2.0,20,6.73298262729,5.93784791758,526,20_1000_ws_0-1,1.98146520037,3.0,1.0
71,5.0,2.0,30,6.73298262729,5.75531253495,526,20_1000_ws_0-1,1.98146520037,3.0,1.0
72,5.0,2.0,40,6.73298262729,5.23863284235,526,20_1000_ws_0-1,1.98146520037,3.0,1.0
73,5.0,2.0,50,6.73298262729,4.54496754976,526,20_1000_ws_0-1,1.98146520037,3.0,1.0
74,5.0,2.0,60,6.73298262729,3.36972441417,526,20_1000_ws_0-1,1.98146520037,3.0,1.0
75,5.0,2.0,70,6.73298262729,3.13951791749,526,20_1000_ws_0-1,1.98146520037,3.0,1.0
76,5.0,2.0,80,6.73298262729,2.33597862517,526,20_1000_ws_0-1,1.98146520037,3.0,1.0
77,5.0,2.0,20,6.56899338395,6.00101029274,751,20_1000_ws_0-1,2.07764830096,3.0,1.0
78,5.0,2.0,30,6.56899338395,4.95214098285,751,20_1000_ws_0-1,2.07764830096,3.0,1.0
79,5.0,2.0,40,6.56899338395,4.7359280332,751,20_1000_ws_0-1,2.07764830096,3.0,1.0
80,5.0,2.0,50,6.56899338395,3.6948319257,751,20_1000_ws_0-1,2.07764830096,3.0,1.0
81,5.0,2.0,60,6.56899338395,3.1332348167,751,20_1000_ws_0-1,2.07764830096,3.0,1.0
82,5.0,2.0,70,6.56899338395,2.58414177538,751,20_1000_ws_0-1,2.07764830096,3.0,1.0
83,5.0,2.0,20,6.31119608919,6.33366239776,756,20_1000_ws_0-1,2.04882114811,3.0,1.0
84,5.0,2.0,30,6.31119608919,6.07804624701,756,20_1000_ws_0-1,2.04882114811,3.0,1.0
85,5.0,2.0,40,6.31119608919,5.46268131545,756,20_1000_ws_0-1,2.04882114811,3.0,1.0
86,5.0,2.0,50,6.31119608919,4.03371668011,756,20_1000_ws_0-1,2.04882114811,3.0,1.0
87,5.0,2.0,60,6.31119608919,3.32923829977,756,20_1000_ws_0-1,2.04882114811,3.0,1.0
88,5.0,2.0,70,6.31119608919,2.6297606407,756,20_1000_ws_0-1,2.04882114811,3.0,1.0
89,5.0,2.0,20,6.51764859941,6.15262282073,757,20_1000_ws_0-1,1.91524531013,3.0,1.0
90,5.0,2.0,30,6.51764859941,6.06951712777,757,20_1000_ws_0-1,1.91524531013,3.0,1.0
91,5.0,2.0,40,6.51764859941,4.98213830508,757,20_1000_ws_0-1,1.91524531013,3.0,1.0
92,5.0,2.0,50,6.51764859941,4.03122023283,757,20_1000_ws_0-1,1.91524531013,3.0,1.0
93,5.0,2.0,60,6.51764859941,3.04559629984,757,20_1000_ws_0-1,1.91524531013,3.0,1.0
94,5.0,2.0,70,6.51764859941,2.51378889242,757,20_1000_ws_0-1,1.91524531013,3.0,1.0
95,5.0,2.0,20,6.51234277288,6.12168101096,613,20_1000_ws_0-1,2.01090375421,3.0,1.0
