name,activated,threshold,before_activation_alters,after_activation_alters,degree,observed,gender,age,race
0,1,1.3921762559530482,0,63,113,0,1,-0.83415275298318,0
1,1,1.6433875233167456,0,89,130,0,0,-0.48017561223677063,1
2,1,-1.0747521425834754,0,76,156,0,0,-0.058363606596827766,1
3,1,2.9791844792922078,1,11,31,0,0,0.5905190822400823,0
4,1,0.5346919641747503,0,28,400,0,1,-0.7085441425927234,0
5,1,2.017928632610376,0,49,196,0,0,0.6227303638375871,1
6,1,1.9750292602451947,0,71,215,0,0,0.8488362650111074,0
7,1,0.24709332366906267,0,26,175,0,1,-0.2311144617844775,0
8,1,2.656259708793417,0,21,256,0,0,0.7708737410396455,1
9,1,2.6590130683076145,2,5,172,0,1,-1.1046585098701922,1
10,1,6.873228070617265,0,101,273,0,1,0.532647028995976,1
11,1,3.9950365825662377,0,12,130,0,0,1.9840648092368038,0
12,1,3.6314053268799857,0,46,108,0,1,0.47374923331204993,0
13,1,2.814390298726373,1,13,87,0,1,-0.3242351133416319,0
14,1,2.879280860899161,0,13,100,0,0,0.43968562223830493,0
15,1,6.318994031854314,0,26,113,0,0,1.6562163772458611,1
16,1,7.025148887294429,0,75,140,0,1,0.9894236572943912,0
17,1,1.295273561798406,0,14,115,0,1,-1.2933500294691165,1
18,1,2.944953131341177,0,59,124,0,1,-0.46506979250496877,0
19,1,0.3802967854939665,0,55,112,0,0,-0.04427571773353393,0
20,1,4.039138054685456,0,48,93,0,1,0.8338931810708198,0
21,1,1.3991394671838804,0,7,77,0,1,-0.8856190066225367,1
22,1,6.753461083729695,0,8,75,0,1,0.847828080627645,1
23,1,4.776673338446641,0,62,116,0,0,1.5091010628035564,1
24,1,0.5666100928835769,0,6,91,0,0,-0.0374341358034427,0
25,1,1.9725555897225664,0,8,62,0,0,-0.19537520977642459,1
26,1,5.584428737743935,0,32,144,0,1,1.5361565133337842,0
27,1,0.5709392764929502,0,7,114,0,0,0.05785407394108945,0
28,1,2.292334603278264,0,6,108,0,1,-0.8785239647187633,1
29,1,-0.4982233999686221,0,16,113,0,0,-1.5458003755087022,1
30,1,0.5504084203625359,0,4,34,0,1,-1.6780615793623674,1
31,1,-1.667045010172438,0,10,63,0,0,-1.6067012711341426,0
32,1,-3.2271573254162025,0,11,100,0,0,-2.013621563454751,0
33,1,-1.8545132378323186,0,3,81,0,0,-0.9298619135179312,1
34,1,6.19802878773078,0,13,46,0,1,0.3246820291333523,1
35,1,6.269005795629129,0,53,105,0,1,1.315131345527117,0
36,1,1.8803944014099745,0,3,122,0,0,0.13521338363827132,1
37,1,5.143847298795897,2,24,102,0,1,0.2825990786404139,0
38,1,5.46203578656432,0,20,89,0,1,0.8646336789243401,0
39,1,0.9352064709044079,0,24,44,0,1,-1.8125393821318534,1
40,1,3.7783548222639323,0,4,68,0,1,-0.570008933259353,1
41,1,1.3454516407086587,0,10,14,0,0,-0.6210053977460261,1
42,1,2.669878387593177,0,3,33,0,1,-0.7581901485960062,1
43,1,5.344915174899046,0,6,69,0,1,0.6089561835625572,1
44,1,3.083846382268437,0,14,66,0,0,0.941048634698704,1
45,1,3.24676749292744,3,8,21,0,0,0.39692888828422235,1
46,1,1.9211166574880334,0,3,33,0,0,-0.03199034393694685,0
47,1,2.231849554732988,0,38,67,0,1,-1.3554380048688013,1
48,1,0.3242329679755307,0,19,37,0,0,-0.9906126109430596,0
49,1,0.4620487122321544,0,15,84,0,0,0.677049983086177,0
50,1,4.236178974799478,0,6,61,0,1,0.08919486724617175,1
51,1,0.7973985372966874,0,7,42,0,0,-0.26434092869369485,0
52,1,2.8279492891826363,0,5,80,0,0,0.6295159245335161,1
53,1,-1.0928426881816997,0,15,75,0,0,-0.4882162188359146,0
54,1,1.7967265083668622,0,19,71,0,1,0.22119522534603697,0
55,1,4.687058468204975,0,14,42,0,0,0.4013396481207902,1
56,1,5.416086405783193,2,20,54,0,1,1.1711012079295566,0
57,1,4.561590543694008,1,6,30,0,1,0.6409696985126642,1
58,1,2.209127488589756,1,18,45,0,0,0.5700393372037248,1
59,1,2.712183310463386,1,12,40,0,0,1.468975384999118,0
60,1,3.5830440280773983,0,30,88,0,0,0.30862837937185283,1
61,1,3.707572345542747,0,19,53,0,1,0.522552500167688,0
62,1,5.220464999133636,0,13,37,0,0,1.3953067088286824,1
63,1,3.325691443411247,0,17,35,0,0,0.5004506755616115,0
64,1,2.874379324441765,0,20,72,0,1,-0.11686030512474418,0
65,1,4.400583526580054,0,13,37,0,0,1.4767208543953343,0
66,1,2.3031388316232775,0,23,72,0,0,0.5600469821575748,0
67,1,2.0756876886035536,0,11,32,0,1,-0.3137068282730752,0
68,1,-0.13749043579205766,0,7,38,0,1,-1.8184542893886766,0
69,1,3.8210578001907893,0,10,17,0,0,0.8478771607199701,1
70,1,-1.817034247069504,0,9,39,0,0,-1.1716455616598584,1
71,1,1.8990519327735043,0,15,40,0,0,0.012637120480458541,1
72,1,6.71076963158009,5,20,63,0,1,1.5439453150643712,0
73,1,3.905932142377988,0,14,81,0,1,0.21300473200031422,1
74,1,0.5064377632738335,0,37,54,0,0,-0.8109314674361583,1
75,1,2.1057647255407437,0,5,18,0,0,-0.1379336585318516,1
76,1,2.8451931897416785,0,7,36,0,0,0.8533367809952518,1
77,1,4.7948116784669566,0,8,21,0,0,1.7235545387058395,0
78,1,2.2310198119367968,0,3,46,0,1,-1.1759700957964758,0
79,1,-0.3163449436696051,0,12,32,0,0,-1.56904763777056,0
80,1,1.2635884141462617,0,21,127,0,0,-0.748439943092312,1
81,1,1.9644293260723615,0,10,32,0,1,-0.9713850681680344,1
82,1,4.227613380571587,0,33,61,0,1,1.1505934163859928,0
83,1,2.5602774752570445,2,7,21,0,0,0.9115308124016656,0
84,1,1.4394316530790974,0,8,54,0,1,-0.4674197856528471,0
85,1,6.061113036906054,0,9,13,0,1,0.8510050594214945,1
86,1,0.23227814666703295,0,3,33,0,0,-0.24981179279920424,0
87,1,-0.6352961652225422,0,3,55,0,0,-1.3174133815451123,1
88,1,0.3065295943117895,0,34,66,0,0,-0.01960078689234847,0
89,1,-1.0044638587773784,0,1,37,1,0,-0.509703020798638,1
90,1,0.504572777247001,0,21,113,0,1,-0.8330253811879802,0
91,1,-0.4016447200187656,0,3,33,0,0,-0.8891220244930419,0
92,1,3.5355206463777575,0,8,21,0,1,-0.07856493126450764,1
93,1,3.8908800606364236,0,7,27,0,1,-0.03763202201840955,0
94,1,2.106897266174,0,14,47,0,0,-0.3066286319529607,1
95,1,-1.6680232924846758,0,1,12,1,0,-1.4495074788093065,0
96,1,4.705503635321968,0,20,58,0,1,0.015468739519360652,1
97,1,2.979602591711102,0,5,22,0,1,-0.012901045136274124,1
98,1,1.310069750200128,1,6,23,0,0,0.12080294846005257,0
99,1,0.28052842704531433,0,3,28,0,0,0.3424605988000986,0
100,1,-0.26936064541951765,0,0,38,0,0,-0.045426455851643954,1
101,1,-0.06154237994208844,0,2,27,0,0,0.021808934722608163,0
102,1,-2.37892873738501,0,9,18,0,1,-2.734378478499043,0
103,1,-2.173137301306123,0,0,31,0,0,-1.736266229729015,0
104,1,3.289944635775684,1,24,31,0,1,0.2552159845056521,1
105,1,-1.7724493679460398,0,7,37,0,1,-1.2193550189242877,0
106,1,5.872733894124778,0,12,64,0,0,1.08899832812045,1
107,1,3.191687535017011,1,4,34,0,1,-0.6802735533480078,0
108,1,5.977168808120142,0,12,29,0,1,1.1111822715036714,1
109,1,1.0911174229697802,0,8,33,0,0,-0.7371396150925792,1
110,1,1.6068321239973624,0,10,14,0,0,-0.34266814870709034,1
111,1,2.4763573040838702,0,6,39,0,1,-0.1759326784121299,1
112,1,1.5575101275063645,0,11,37,0,1,-0.1406274950582391,0
113,1,3.6982474498995375,1,6,71,0,1,1.2365974370091346,0
114,1,3.5575650935271064,1,5,31,0,1,-0.023089810332645427,0
115,1,3.1615163180018135,0,5,22,0,0,0.3746894706748898,0
116,1,3.1774323870234165,0,4,41,0,0,0.174175716524685,0
117,1,3.763305841690465,0,5,64,0,1,-0.29072670620657337,1
118,1,2.7418014425436543,2,8,20,0,1,0.27628100655719323,0
119,1,2.510979012468823,0,4,9,0,0,-0.12631369549973973,1
120,1,0.2844081291029994,0,9,9,0,1,-1.9326654106536492,1
121,1,5.9454081280221205,0,26,54,0,0,1.3692913020795139,1
122,1,1.3664814071679765,0,4,11,0,0,-0.0007448507958219051,1
123,1,7.273128745081972,0,29,60,0,1,1.9845580709375539,0
124,1,1.4149318527374488,0,3,44,0,1,-1.253368836124635,1
125,1,2.734725792617732,2,27,39,0,0,1.0859834784430633,0
126,1,1.340308739241427,0,4,22,0,0,-0.3234791304409809,0
127,1,1.827687941262596,0,2,54,0,0,0.21407690962552942,0
128,1,1.4682553610271851,0,12,26,0,1,-1.0782990264562407,0
129,1,1.213433075923079,0,6,15,0,0,0.0294179924316292,0
130,1,4.317540740764126,0,11,33,0,1,0.806592628591637,0
131,1,3.863218445110503,0,8,23,0,1,0.20666789822408135,0
132,1,1.0891901841497122,1,13,46,0,0,-0.11442682641655984,0
133,1,5.97565562267181,0,6,57,0,1,1.2351277451957219,0
134,1,1.7267552157121568,0,5,29,0,0,0.816721440419962,0
135,1,4.407583945180952,0,5,34,0,0,0.548767440859405,1
136,1,0.67412714474938,0,4,29,0,0,0.5803907869010354,0
137,1,8.505205637238735,2,32,35,0,1,1.4886022263994043,1
138,1,1.6244882022639069,0,6,10,0,0,-0.5802067901581458,1
139,1,-1.4976887348911534,0,4,32,0,0,-0.39940287403114005,0
140,1,0.1596780255172361,0,15,43,0,0,-0.7560424981227761,1
141,1,6.801911758219819,0,12,49,0,1,2.0055529816498274,1
142,1,6.140457388733285,0,10,43,0,1,1.2920539258663881,1
143,1,5.6318069207774295,0,21,41,0,0,0.8220974283410565,1
144,1,3.3175364155420453,3,4,16,1,0,1.0585381392309519,0
145,1,0.3245100296243053,0,9,53,0,0,-0.5478008622479867,1
146,1,3.8227086931833587,0,35,68,0,1,0.4096008376140136,0
147,1,3.3271391271028703,0,23,46,0,1,-0.07512210075790798,0
148,1,6.71030571004649,4,18,32,0,1,0.8105848943951405,0
149,1,7.227023843596637,5,11,49,0,1,0.9999497205574994,0
150,1,0.7581551116490157,0,2,30,0,1,-1.8506036502561225,0
