name,activated,threshold,before_activation_alters,after_activation_alters,degree,observed,gender,age,race
0,1,-2.9887976804539718,0,54,85,0,0,-1.5060270529631572,0
1,1,6.160295750953832,1,13,125,0,1,0.6616172112731986,1
2,1,4.503610025689276,0,176,341,0,1,0.7765928695233467,0
3,1,2.859023502404492,0,121,192,0,0,0.6990803548434253,1
4,1,4.604956695316346,0,67,252,0,1,-0.9270193340391272,1
5,1,-0.08836719335994192,0,0,107,1,0,-0.5720033846082532,0
6,1,-0.5339374683225717,0,129,186,0,1,-0.6657011381976176,0
7,1,0.6613369087636816,0,16,246,0,1,-0.9287646673874252,0
8,1,4.698412440893691,0,11,156,0,1,0.8578741066685518,1
9,1,-0.07008164463397604,0,21,58,0,0,-0.5963156982816722,0
10,1,4.1029738246937635,0,18,129,0,1,0.06672263456006278,1
11,1,5.107080253518996,0,10,197,0,1,0.19524494180376972,1
12,1,2.045133192576699,0,21,142,0,0,0.8652814778249094,0
13,1,5.329369327598353,0,9,202,0,0,0.7293278254134374,1
14,1,-1.3402521148518893,0,15,179,0,0,-1.3006943336758316,0
15,1,0.39468794159386034,0,12,157,0,0,-0.2515476860628718,0
16,1,3.9793268247047275,0,30,132,0,1,0.8944916533396579,0
17,1,3.1610072499413753,0,34,126,0,1,-0.7519765184361326,1
18,1,2.6262370465770526,0,16,133,0,0,0.08828692266444814,1
19,1,4.818057341009492,4,6,24,0,0,1.2713895465196519,1
20,1,-0.07172363026908712,0,25,195,0,1,-1.9650552922718272,1
21,1,6.045420240079343,0,7,142,0,0,1.6922111127028567,1
22,1,3.2792277834949086,0,6,151,0,0,0.3722089525632261,0
23,1,0.8647990651045534,0,28,246,0,1,-1.2064700189517308,1
24,1,1.4810246992831484,0,36,109,0,1,-0.9249865032453575,1
25,1,0.023378359188278353,0,4,51,0,0,-0.6726462103235216,1
26,1,5.110902976853212,1,7,63,0,0,1.1642091182876744,1
27,1,3.342060648067278,0,17,68,0,0,0.20260900711415686,1
28,1,0.22463660797644402,0,9,75,0,0,-0.8263619908418632,0
29,1,-0.4379399778956663,0,23,44,0,0,-0.6279746233966966,1
30,1,6.619982393757901,0,11,74,0,1,1.4199826829759992,0
31,1,2.4014959028800376,0,19,93,0,0,-0.10313410965742263,1
32,1,-0.8174180998799887,0,18,198,0,1,-1.0382837134124545,0
33,1,7.479033201769837,6,14,38,0,0,3.0587114654632863,1
34,1,-0.48848985264293043,0,6,10,0,1,-0.47097468340026755,0
35,1,5.2544566791955,0,11,73,0,1,0.6193994234603871,0
36,1,3.040859129780303,0,4,73,0,0,0.27843337460748435,1
37,1,2.3539793705733922,0,4,79,0,0,0.16058004807111192,1
38,1,4.49533336828545,0,14,65,0,1,0.459704488802371,0
39,1,2.1093503052378004,0,7,21,0,1,-0.5149776923659581,0
40,1,1.7153945478260133,0,6,97,0,0,0.5033136277254312,1
41,1,4.935589381753733,0,8,33,0,0,1.4550593758623624,1
42,1,2.022961773561905,0,7,27,0,0,0.5089395662750136,1
43,1,4.23257108633036,0,12,42,0,1,0.2618569391339166,0
44,1,5.454264554950184,0,24,58,0,1,0.796715755422709,1
45,1,-0.8116706782970229,0,4,55,0,1,-1.7030464568010155,0
46,1,2.209383703570024,0,18,57,0,1,-0.020280100155122806,0
47,1,1.2771686449179391,0,4,68,0,1,-1.0686273517767446,0
48,1,3.0558687380103535,2,15,45,0,0,-0.7803994116420071,1
49,1,2.9421768449835515,2,45,67,0,0,1.4078925950586796,0
50,1,-1.3423313204085634,0,7,83,0,0,-0.7387621614681892,0
51,1,3.4971825855786047,2,5,16,0,1,-0.11039535679421607,1
52,1,-2.171368617571499,0,26,82,0,0,-1.476260398215986,0
53,1,0.6958405360321549,0,19,52,0,0,-0.7148847966126826,0
54,1,6.3918814367683545,0,50,76,0,1,0.9060397978777409,1
55,1,5.01306952314565,0,21,51,0,1,-0.22350868383669847,1
56,1,0.38514614412021697,0,6,38,0,0,0.3896449692038478,0
57,1,1.9208345018169717,0,10,40,0,1,-0.8759651427377879,1
58,1,4.248211198177436,0,5,49,0,1,1.1422611942906666,0
59,1,2.746391323146459,0,13,28,0,1,-1.2117245848035385,1
60,1,1.6898683941243036,0,2,79,0,0,0.20180866460953142,0
61,1,4.537219680123221,0,9,49,0,1,0.7631335660422658,1
62,1,-1.8536030458380335,0,4,96,0,1,-2.0582218112542066,0
63,1,4.464133223444232,2,10,41,0,1,-0.5321712474871092,1
64,1,2.0417381147219595,0,12,26,0,1,-0.6719182575654937,1
65,1,1.760827420654949,0,3,29,0,1,-0.3998445343882483,1
66,1,1.835990347246943,0,9,22,0,1,-0.8428198357356204,1
67,1,4.391713232484321,0,12,58,0,1,-0.4269948293309405,1
