,ego,activated,activated alters,timestep,true threshold,bin_var1,var1,var2
1,3,1,0,,-4.88385827430853,0,-1.9713919054627176,-0.6983250546680907
2,16,1,0,,-3.5281565296533572,1,-1.8277048805522262,-0.9421338415541393
3,35,1,0,,-7.41510450962641,1,-1.6511235718740647,-1.4853595436836653
4,46,1,0,,-0.819185559979262,0,-0.3059320805472419,-1.6913024428204386
5,47,1,0,,-2.223120642085265,1,-1.8942865452066115,-0.33093243029280134
6,56,1,0,,-3.134553318336771,1,-1.0265287058425063,-0.6958977635474899
7,70,1,0,,-4.011703177197564,0,-1.7381828590900834,-1.390163655537682
8,89,1,0,,-3.3615577948551323,0,-0.9592578571787503,-2.11389295352189
9,91,1,0,,-1.4231786104979527,1,0.04271257984826834,-1.6729150466504064
10,93,1,0,,-2.129698010317413,0,-1.8292048186675167,-0.082473294036714
11,96,1,0,,-1.7602522700790582,0,-0.8278157535191377,-1.092726086779426
12,101,1,0,,-1.8412305484240372,0,-0.6430800238138042,-1.6869056801661004
13,104,1,0,,-0.9269029952039948,0,-0.5669191415524045,-1.097445139189423
14,106,1,0,,-0.10447999914397477,0,-0.03640630018660247,-1.8383315859992413
15,109,1,0,,-0.6885529634170504,0,0.2823510486524952,-2.375274297514769
16,112,1,0,,-0.3652503031966715,0,-1.3195843158911489,-0.7630244118264604
17,116,1,0,,-0.733668829775798,0,-1.4277774852535745,-0.0435457739175487
18,123,1,0,,-1.8102854317900046,0,-0.9524717079338311,-0.6495180100299399
19,126,1,0,,-2.6878776695790476,0,-0.018028383538197752,-2.5101550702971
20,145,1,0,,-1.5164579669061569,1,-0.4301057985904904,-1.1336911152700193
21,146,1,0,,-3.542179879887261,1,-0.07628784640000297,-2.265286678634957
22,148,1,0,,-4.296181606030759,1,-2.5348044993951753,-0.226390223780569
23,149,1,0,,-5.980700135971878,0,-1.9327499853077281,-2.0784442960308183
24,161,1,0,,-0.5023918380377723,0,-0.3831071985206393,-1.3833958287311272
25,163,1,0,,-1.912152834446633,0,-1.2816005876534509,-0.7700186643203707
26,172,1,0,,-0.5924411856862108,1,-0.6296222330393308,-0.6510184001835086
27,174,1,0,,-1.8917967253755774,0,-2.262532735075234,0.2763172925674829
28,191,1,0,,-0.6746876918415416,0,-0.2718738847395541,-1.120523466377795
29,192,1,0,,-3.1547160054349863,1,-0.5094443918339309,-1.75158416594053
30,193,1,0,,-3.2707373436644334,1,-2.2345240371392903,0.09725780706548803
31,200,1,0,,-0.5451722607292475,1,0.7036039246505743,-2.1115543867293214
32,206,1,0,,-0.21893064592828937,0,-1.2568282176555536,0.3335180102397519
33,210,1,0,,-1.4738435763697515,1,0.695375908212904,-2.0555997026359365
34,216,1,0,,-3.0993241769565483,1,-1.5011033425275533,-0.5787893007746543
35,217,1,0,,-0.35493231426218114,1,-0.9990216994878826,-0.5621334159887297
36,218,1,0,,-0.14068815756607078,1,-1.2572897866495292,-0.24277572255413118
37,221,1,0,,-5.667355089518662,1,-2.043057593541306,-0.6917543655180899
38,224,1,0,,-4.51141588646443,1,-1.5582079892057075,-0.9090226477791646
39,226,1,0,,-2.607203049792607,1,-1.5248927686532932,-0.6269027938110582
40,229,1,0,,-1.1315284564175554,1,-1.215100526630648,-0.9208813058353079
41,230,1,0,,-0.16760853421250171,1,-0.8366837077395716,-0.5081355118323029
42,239,1,0,,-3.2425370555101303,1,-0.8938976544664341,-1.9560527081484171
43,241,1,0,,-0.6670099697843828,0,-0.8521554876756486,-0.863452600787348
44,243,1,0,,-0.8717461721124464,1,-1.0477262423684675,-0.40693170784296206
45,246,1,0,,-0.3193618098519608,1,-1.1607466479669282,-0.33129421381322577
46,247,1,0,,-1.1658860643612925,0,-0.9913684040451938,-0.8223792055091571
47,269,1,0,,-0.4429539715933286,1,-1.8255346872823577,0.4709652183567568
48,279,1,0,,-1.4272551640905071,1,-1.083910184043962,-0.45412858540031203
49,280,1,0,,-0.4410575045588987,0,-1.8041764345978575,0.002977655905606427
50,281,1,0,,-6.249863269943116,1,-1.8788794956127737,-0.7973244626804973
51,285,1,0,,-10.716992387496123,1,-2.5163860568786856,-2.3003549978133058
52,289,1,0,,-1.4315616193051435,0,-0.8571227983151642,-1.2819903047811834
53,290,1,0,,-0.33297195644044164,0,-1.5752383781711854,0.6367943664405569
54,294,1,0,,-5.52987395971787,0,-1.5984511226154756,-1.407087642354967
55,296,1,0,,-3.0668690006464403,1,-2.2536683609557038,0.2596563474250136
56,305,1,0,,-1.351463288769474,1,-0.9561343727863361,-1.0173101316541737
57,338,1,0,,-7.035411113015159,0,-0.5075539296283378,-3.2623242201369447
58,341,1,0,,-0.2870419513800714,1,-0.20000236473140293,-1.3009457302591982
59,342,1,0,,-0.12868998143558708,1,-1.1931151871269468,-0.389697670103998
60,345,1,0,,-2.4891746740849396,1,-1.2160873482907044,-0.7947613872961588
61,346,1,0,,-3.0898306625830254,1,-2.1099664258187767,-0.23468401788653856
62,355,1,0,,-2.3270950606591225,1,-1.7201701445505173,-0.09009205848939547
63,356,1,0,,-0.6582676068764945,1,-0.6882492617952085,-0.8550352939442067
64,357,1,0,,-2.4610248563530206,1,-0.7341600967550016,-1.0223728033877384
65,358,1,0,,-1.2205770063402084,1,-0.19655417424356675,-1.5150320163913573
66,359,1,0,,-3.944493373814678,1,-1.2888380170031712,-0.7013398864810412
67,368,1,0,,-0.3439432272985803,1,-0.9927515824743482,-0.6744083054232666
68,370,1,0,,-2.4884688783014863,1,-0.6985311064250608,-1.2665189817155225
69,378,1,0,,-0.08922623943519925,1,-0.32357039612033484,-0.6764345272738993
70,379,1,0,,-0.20574776472632372,0,0.6199015212505871,-2.0701741718368982
71,383,1,0,,-0.6849527849033581,1,-1.4688730663752494,-0.14265418191120904
72,390,1,0,,-1.5063474444424605,1,0.08672503531148419,-1.4665879291169537
73,391,1,0,,-1.7995001779968418,0,-0.6563079848010112,-1.7048263521685683
74,397,1,0,,-3.8423183971636092,1,-1.4597685231078934,-0.9107433412494969
75,411,1,0,,-0.657957026046176,0,-1.4176156107989968,-0.37870551505008687
76,414,1,0,,-3.389215818359135,1,-1.6158805486711467,-0.5884780250022793
77,415,1,0,,-8.098981511005595,1,-1.1544755437543497,-2.435176401791435
78,419,1,0,,-0.746140847744202,0,-0.721594292138406,-1.9068250985511943
79,420,1,0,,-2.1603851247372337,1,-0.9793079089149527,-0.766209257851259
80,429,1,0,,-3.2812079215502297,0,-0.3984495270948448,-2.489447347965819
81,431,1,0,,-6.238435266092025,1,-1.7614510186293781,-1.530488423321436
82,434,1,0,,-1.9923971255590418,0,-0.845032455348037,-1.2754874302399877
83,435,1,0,,-2.0402384677193797,1,-0.6197107283337252,-0.5891556776897965
84,458,1,0,,-1.376441034381943,0,-1.0544623744480743,-1.233860959039128
85,464,1,0,,-1.9769210490301314,1,-1.538506597336642,-0.5146646849529397
86,471,1,0,,-3.2829599408698287,1,-1.960073669075848,-0.20502543261973621
87,478,1,0,,-0.5599633759101795,1,-1.0263100938860172,-0.4490771277469966
88,483,1,0,,-2.3229516608929144,1,-0.8927045499451225,-0.9352397355830417
89,508,1,0,,-4.824848843934649,1,-1.3253041971076254,-1.5988090478765689
90,514,1,0,,-0.027741445724147384,1,-0.8936098899169818,0.03128273409482979
91,525,1,0,,-0.8833787218372526,0,0.023767379424691294,-1.8868768824548454
92,530,1,0,,-1.7103302791346984,0,-1.163391021221651,-1.1613622788398048
93,533,1,0,,-1.702489623624748,1,-2.139387261222034,0.5146907609238193
94,537,1,0,,-3.4863540927873435,0,0.2903517368589423,-3.2363190005387077
95,539,1,0,,-1.12596320336485,1,-1.7453767876933113,-0.22112071343737164
96,541,1,0,,-2.8097422123692883,0,-2.4499355624502916,-0.40696692304522536
97,553,1,0,,-1.270978474376618,0,-0.7119055148287011,-0.9321651905665747
98,556,1,0,,-2.7611365791096794,1,-1.979082259116963,-0.9730707312510001
99,557,1,0,,-1.3791108142842878,0,0.15046596567474635,-2.4116210163524197
100,569,1,0,,-1.1422674070182652,1,-1.4424727946119547,0.02705076243340209
101,571,1,0,,-7.456233559142204,1,-3.255979494234679,-0.5071833619030476
102,572,1,0,,-4.262329967758719,1,-0.41150615552323766,-1.7297480955491151
103,582,1,0,,-4.053052009190538,1,-2.017142386069077,-0.6933930369149611
104,588,1,0,,-0.3578185290240337,1,-0.5574350009917538,-0.8691473042884593
105,591,1,0,,-0.7988435519772276,1,0.5076565654182612,-1.8688553462578508
106,594,1,0,,-1.965187536137925,0,-0.9112511607629019,-1.4553428362930632
107,596,1,0,,-4.363414383108852,1,-1.3242972318134127,-1.729198034920882
108,608,1,0,,-0.15179300507413782,1,0.2707194185604495,-1.6329034367383102
109,612,1,0,,-1.2608631727107429,1,-2.163155972779981,0.4162676389191963
110,617,1,0,,-5.312691424915606,0,-1.3936304493897989,-1.7020843303729587
111,634,1,0,,-2.176304162768841,0,-1.0254606489350697,-1.4444591802316473
112,635,1,0,,-0.534252787297194,1,0.16157040373712822,-1.8173244974415481
113,637,1,0,,-2.250158706624635,1,-1.9441508010841944,-0.5795497616431472
114,641,1,0,,-8.094900830514176,1,-1.317796513108271,-2.1482375625242423
115,657,1,0,,-1.075557657473111,1,-1.7641087263511748,0.3700955302460109
116,663,1,0,,-4.91829013496946,1,-1.595241483351145,-1.0582085328959565
117,664,1,0,,-4.1780640788826435,0,-2.40728965407205,-0.834141443957197
118,666,1,0,,-6.131038858937434,1,-0.9968037169168067,-1.9048667650773394
119,668,1,0,,-1.6725908249090276,1,-0.49177992893272476,-1.3084648603767473
120,670,1,0,,-0.4178755533625561,1,-0.38674245781168,-0.8962634632964929
121,674,1,0,,-2.1415158871621003,0,-2.1400920583515197,-0.3556212332712975
122,683,1,0,,-0.8740887706878753,1,-0.9338473565804173,-0.8432045537644023
123,686,1,0,,-2.9331114522258943,1,-1.2102287414889812,-1.3694184156868279
124,694,1,0,,-4.795403306943651,1,-0.8082806327727868,-2.302508196138426
125,702,1,0,,-3.6690125761363754,0,-0.9702276299709321,-1.9739947074328685
126,714,1,0,,-2.4222548525908563,0,-1.1532816731232642,-1.1746426866827968
127,719,1,0,,-0.31939534820315785,1,-0.834590489796882,-0.8138921345613003
128,727,1,0,,-0.0034131141993575254,1,-0.8012992334383853,-0.2087873583917387
129,732,1,0,,-9.229506821859163,0,-1.6183453425969054,-2.765489073518078
130,733,1,0,,-5.623483204889077,1,-2.6128305715876663,-0.7388191354799797
131,734,1,0,,-2.0887558254529717,1,-0.8811174103816298,-1.1848728670644186
132,744,1,0,,-1.6848388483475871,1,-0.2227189473136184,-1.1015118666441586
133,752,1,0,,-3.7825716488802614,1,-0.8234580652357313,-1.6866710499969655
134,759,1,0,,-0.3818715944564302,0,-2.869219851264014,1.0173993648921174
135,767,1,0,,-1.6355402451607437,1,-0.9445255752968787,-0.8028184160715583
136,770,1,0,,-0.6858702326692859,1,-0.15557021897964127,-1.488086180661605
137,791,1,0,,-2.09083293744545,1,-0.1813561316736131,-1.88797144855461
138,792,1,0,,-1.976410784916958,0,-1.3272631851893175,-0.8740723966626386
139,795,1,0,,-2.3890466945789894,1,-1.8279923833783134,-0.49256368201011935
140,796,1,0,,-0.17317668737181774,0,-1.9860546419705551,0.11635319902539511
141,798,1,0,,-0.39906600121106384,1,-1.44606886679247,-0.004329618998962254
142,801,1,0,,-3.434819286639807,0,-1.7716210027231583,-1.1977056635479097
143,807,1,0,,-0.041297746279230385,0,-0.9587882754733672,-0.8707135925480434
144,817,1,0,,-2.1000060833502054,0,-0.7011160797855387,-1.818062978812416
145,820,1,0,,-5.590659666160162,0,-2.8058368155936253,-0.3061119207703581
146,832,1,0,,-0.3597758554579662,1,-0.47432160195907386,-0.812779869914433
147,843,1,0,,-0.7917048215157824,1,-1.0683434583478209,-0.12979306738801102
