name,activated,threshold,before_activation_alters,after_activation_alters,degree,observed,age
0,1,2.2367050327148004,1,7,10,0,-0.1681825959270887
1,1,3.2337639158508638,0,5,10,0,0.19407886317558537
2,1,2.8639158104747597,1,8,12,0,-1.8340771595999763
3,1,2.4258522863112786,2,3,10,1,-0.6959776382509274
4,1,5.231674787560554,1,9,11,0,1.438385050005671
5,1,5.351506795179533,0,6,10,0,1.5225064135088098
6,1,0.9981397153530192,0,5,9,0,-0.8700484902902873
7,1,3.507981915728222,3,6,11,0,0.7972959628134224
8,1,0.866705040230058,0,3,10,0,-1.0429100100217754
9,1,1.7207441607052683,1,2,10,1,-0.9859721120810369
10,1,3.7167975135884532,1,5,11,0,-1.0022508695643497
11,1,4.161278043854133,1,8,10,0,0.5404121695984981
12,1,2.5039397834671053,1,3,9,0,0.0011221474531810604
13,1,5.886506397230131,5,6,10,1,1.6178483178036354
14,1,4.755868849224151,4,5,12,1,1.281444175410356
15,1,1.7887604976851978,1,2,10,1,-1.2850565137315457
16,1,3.561231129763574,2,4,9,0,-0.6362159802282309
17,1,2.35242139989762,2,5,10,0,-0.9169281284464152
18,1,4.030089031604619,4,5,11,1,-0.771837980316373
19,1,1.8124545179457334,1,4,10,0,-1.2800185040412375
20,1,0.9691368152507058,0,1,9,1,-1.453798617049506
21,1,-1.5811524342900665,0,0,10,1,-2.7646234374116823
22,1,0.8047342814351595,0,2,11,0,-2.039997813433427
23,1,4.601752920209558,0,8,12,0,-0.7251003986769794
24,1,1.6455435412806285,1,4,11,0,-1.088560242792147
25,1,2.2424477162377534,0,4,9,0,-0.43213473465942437
26,1,0.8762343752722157,0,1,11,1,-0.3200080314499005
27,1,4.165693335527698,0,7,11,0,1.0794837655036378
28,1,3.700330306703618,3,4,11,1,0.994610451371692
29,1,2.9109918819662095,2,4,9,0,0.22531676995476446
30,1,2.7805616696041637,2,4,10,0,1.519597565886795
31,1,4.030747490658573,4,5,11,1,1.594335837785497
32,1,2.7112964691375776,0,7,11,0,-0.364263661826316
33,1,2.8609956185604095,0,5,11,0,0.15238644637323046
34,1,1.6885166468932915,0,4,7,0,-1.0057221334455522
35,1,2.3082788111147408,2,7,13,0,0.779062205944081
36,1,3.959512762744752,3,4,8,1,-0.16653825517641987
37,1,0.6722936772986019,0,1,9,1,-0.7077883213758749
38,1,4.254796117198726,3,6,9,0,0.7695385559689379
39,1,3.1878520513245503,3,7,10,0,-0.7955696049239247
40,1,2.04898660926671,2,4,7,0,-0.31452054469332646
41,1,2.217039404607365,2,3,8,1,0.3859636560378154
42,1,2.3209423080686387,2,3,8,1,0.5242114055776642
43,1,2.830613386483718,2,3,8,1,-0.24248395189346905
44,1,3.1886359498747807,2,9,10,0,0.2788212993576985
45,1,2.2597129421645454,2,3,8,1,-1.0931420846652415
46,1,3.9002619249760495,2,5,10,0,0.49070332435844033
47,1,2.1554999697403527,1,6,9,0,0.43572799609421076
48,1,1.6209755001500865,1,3,10,0,-1.4266173249067513
49,1,2.717422198968445,2,4,11,0,0.19901277681007382
50,1,3.829213329094272,2,10,10,0,1.0334693128248686
51,1,2.582162294790222,2,7,9,0,-1.1388603491496372
52,1,5.049687811052857,5,9,9,0,1.5602096067640765
53,1,5.065410193840972,4,6,9,0,1.5420562690084512
54,1,4.26836002127294,4,6,10,0,-0.39607157113769614
55,1,0.7659120376621993,0,2,8,0,-0.21327661700550676
56,1,2.5679213946886663,2,3,11,1,-1.044246728209775
57,1,4.188562571682719,4,7,10,0,0.5373012501320179
58,1,1.0511425699511534,0,3,10,0,-2.1221128228902586
59,1,4.700076918791272,1,6,9,0,2.5298234373917072
60,1,2.8427485709266382,2,5,11,0,0.33515436886771777
61,1,2.338316095061636,2,3,10,1,0.7187741020592349
62,1,3.9877852954722535,0,4,12,0,0.7591901231905118
63,1,3.876253508735812,2,8,11,0,1.0616677548946047
64,1,3.679511048817167,1,9,11,0,0.23777692862643396
65,1,4.302290264017207,3,7,9,0,0.3678148572989613
66,1,3.5249803245982165,3,4,10,1,-0.04044195850553787
67,1,5.164643875800927,2,10,11,0,1.9927465415209107
68,1,4.789776744637416,4,5,8,1,1.1609079471777282
69,1,2.1120397263786543,0,3,8,0,-0.5974001937899851
70,1,-0.4190472354557522,0,1,9,1,-1.8036819670446163
71,1,2.7509693892223606,2,7,11,0,0.35082566996580816
72,1,2.3675063847582303,1,3,8,0,-1.5021411919652081
73,1,4.853872152255741,3,6,13,0,0.5704700809375578
74,1,3.498773613543195,3,7,10,0,0.9566681878974012
75,1,1.4690552128964631,1,2,9,1,-0.636169958333629
76,1,3.506797458507986,1,9,12,0,-0.8258081426849214
77,1,1.242637921001783,1,3,8,0,-1.8951879926466317
78,1,2.6529873296454634,2,4,9,0,-0.25301584970971613
79,1,-0.1809795038430364,0,0,12,1,-1.4260891209065987
80,1,2.6494945186902843,1,3,11,0,0.3854094221454292
81,1,3.6861644207572253,2,9,11,0,1.9591474145323151
82,1,2.691066446460114,2,4,8,0,-1.5586482927022272
83,1,1.3127443204101374,1,2,10,1,-0.06522671182076566
84,1,3.447086388670022,3,4,10,1,1.3740465544881137
85,1,5.0365698091006585,4,7,11,0,1.2072691808503424
86,1,3.677962573112902,3,5,11,0,0.5210504853792006
87,1,-1.2787964582718967,0,0,8,1,-2.2151561627703438
88,1,3.517898056040628,3,4,10,1,-0.18072822044694448
89,1,5.390882155237989,5,6,10,1,0.4428909947082101
90,1,4.022428714103027,4,8,10,0,-0.5760939021656117
91,1,2.5547006376530765,1,3,11,0,1.1257523955495063
92,1,1.5665067987644918,1,2,8,1,-2.9450602720199077
93,1,5.2835341871046335,5,10,12,0,1.374646764119612
94,1,3.9314355070504874,1,4,11,0,1.1921714395766614
95,1,4.0704104068126945,4,6,10,0,0.30178496574519736
96,1,0.7401981318330404,0,1,13,1,-0.5506060297631393
97,1,1.6248886897788903,1,2,11,1,-0.32623651979708124
98,1,3.1047312036359305,3,5,11,0,-0.014073038609582823
99,1,2.7489114946841746,2,5,10,0,-0.743395134648015
100,1,3.019151124823711,2,8,10,0,-2.338456913535059
101,1,3.0223367021048557,3,6,12,0,-0.29899602964757094
102,1,0.5239635195956351,0,1,9,1,-1.4419602611329805
103,1,0.9018808315673152,0,1,10,1,-1.1891995183973672
104,1,5.675878659238811,5,6,10,1,1.760677321043216
105,1,2.665928367650861,2,5,9,0,-1.6844716200231218
106,1,2.543129875989301,2,3,10,1,1.313057631813348
107,1,4.44955498621059,3,5,10,0,1.6367001064523345
108,1,6.995135715867973,5,7,9,0,2.3171562782659763
109,1,3.0876104435311245,1,8,9,0,-0.7434233136131796
110,1,2.8495360127317566,0,10,12,0,0.22724689170019124
111,1,2.3623975432175977,2,3,11,1,-0.35648592375504334
112,1,3.6926134519723,3,4,8,1,0.009097820445744056
113,1,4.21734363732393,3,6,11,0,1.9749269886786174
114,1,2.067568655755581,1,8,10,0,0.9132115384677272
115,1,1.0312578623157067,1,3,12,0,-1.602737124912401
116,1,3.002798228304841,0,5,9,0,1.1557319356602576
117,1,3.241887017564668,1,5,11,0,1.2329576345498277
118,1,1.600292463896723,1,3,9,0,-0.4028975658565172
119,1,3.781918171796055,1,5,8,0,0.06838567089492302
120,1,3.8342077664278884,0,4,12,0,0.8698110361464361
121,1,4.499024754059317,4,6,10,0,0.9565292595427992
122,1,4.6874964826408,4,6,10,0,0.8283832688027292
123,1,3.289842982067861,2,4,9,0,0.5017706538647981
124,1,2.2600822470284223,1,3,8,0,-0.049094605695523166
125,1,2.2721223108524335,2,3,9,1,-0.5259226839999989
126,1,2.9527152907042744,2,3,8,1,-0.30737797600410993
127,1,1.4850388603870144,0,2,11,0,-0.7019543298812597
128,1,3.4805376570467654,0,4,9,0,-0.46344411379985956
129,1,3.2076181152934624,2,9,9,0,0.00177765343019946
130,1,1.0976251477630283,1,2,12,1,-1.9283257709542094
131,1,6.909875941464401,6,9,10,0,2.7256354297989165
132,1,2.9750081676735007,1,4,12,0,0.8888152069666098
133,1,6.4633959702396275,6,7,11,1,2.3205102597187413
134,1,5.48188637838361,5,6,9,1,1.3954639032241294
135,1,2.623958964627441,2,3,10,1,-0.4687963608035672
136,1,2.1370670731576458,2,5,11,0,0.28397938928630717
137,1,2.561803792315753,0,3,8,0,0.4949765397791928
138,1,2.9388094877360427,1,3,10,0,-0.09548478841004521
139,1,6.089325502757776,4,7,11,0,1.969710485981848
140,1,3.9456357570842044,3,5,10,0,0.5240563620225562
141,1,3.629206165337022,2,4,9,0,0.3818387636507065
142,1,-0.13290922167986752,0,0,10,1,-2.150072388144324
143,1,1.3110668391001519,0,5,10,0,0.5782431193044988
144,1,2.540169146567827,1,4,11,0,0.656750401770327
145,1,5.8128647571415115,4,6,9,0,1.2494355772297243
146,1,1.7408997794809764,0,4,11,0,-1.2487681999554203
147,1,2.961186979923349,1,6,10,0,-0.6658859071565897
148,1,3.168396179303554,2,4,11,0,0.7659406156236707
149,1,1.5193163367860547,0,2,10,0,-1.1716118694056725
150,1,-0.8811376574874332,0,2,10,0,-1.404974552967748
151,1,0.8962693001005064,0,1,10,1,-0.6554417308085918
152,1,2.1320738999604028,2,6,9,0,-0.3311223741404987
153,1,2.9388709015328276,0,3,11,0,-0.3352833069398283
154,1,3.620197475996055,0,5,10,0,-0.4662986787324632
155,1,-0.053754299942009975,0,0,9,1,-2.8015368192671004
156,1,2.5508618111018597,2,3,13,1,0.7861663057146464
157,1,3.132023825970697,2,7,8,0,0.3303876699005653
158,1,2.4487900986455755,2,5,11,0,-0.13473576869492088
159,1,1.3391725928011549,1,2,11,1,-0.7940955467616682
160,1,3.443540911321894,2,6,9,0,0.773668948060902
161,1,3.3704977804638077,1,8,10,0,-0.0055438497444263565
162,1,2.272317054514761,0,7,10,0,-0.7278274410277548
163,1,1.3862286481899928,0,2,11,0,-1.9860913081579639
164,1,2.369342249325131,2,3,11,1,0.09223586156173069
165,1,0.2560728276415194,0,1,10,1,-1.1445045979257487
166,1,1.173240201991793,0,3,11,0,-1.7015997834744956
167,1,3.8543466394574275,0,4,11,0,1.178134937319085
168,1,4.807052024347361,4,5,9,1,1.12278964670529
169,1,5.263941332749548,4,7,11,0,1.2915157539008737
170,1,2.9183666376413484,0,3,10,0,0.6623365717178487
171,1,3.6873493367505543,0,4,12,0,0.2912642289131682
172,1,4.3897226674814975,4,5,8,1,0.5402796028041721
173,1,4.411087343917646,1,8,10,0,2.5658909980672964
174,1,2.3109040981254676,1,3,10,0,0.3274692106549083
175,1,2.918172546871944,2,4,10,0,-1.2974802880971015
176,1,4.639053626569459,0,5,9,0,1.1990461515399895
177,1,4.315846952554271,2,6,12,0,-0.07280458446293321
178,1,2.372943705018221,1,3,11,0,-0.7574258481073467
179,1,3.8090002396673546,3,5,11,0,-0.5168541493018699
180,1,3.0910747682794053,0,4,8,0,-0.222860220719365
181,1,2.1448557991204487,2,7,9,0,-0.9278626343282185
182,1,3.92938689001003,3,5,12,0,-0.19528584404864277
183,1,3.222705478860852,3,5,10,0,0.46350072114198443
184,1,2.921782006778808,1,6,10,0,-1.2962876426239458
185,1,4.0086468309209575,2,5,11,0,1.4773133957721383
186,1,3.1232488245174914,1,5,10,0,-0.19183485318899837
187,1,2.5454383798940268,0,7,10,0,-1.5127297622830982
188,1,3.3896553845678823,2,7,8,0,0.8179612106937639
189,1,2.9975100687279217,2,4,11,0,-0.2486432498666851
190,1,3.4466454307073007,3,4,9,1,-1.052662453224688
191,1,2.2197378230915437,1,9,10,0,0.38085432165229416
192,1,0.02656705977288354,0,1,11,1,-0.86094652787651
193,1,1.4349732790891094,1,3,10,0,-1.0043601056068006
194,1,2.606882594615653,0,3,7,0,0.22150154192340638
195,1,3.187982891294102,2,6,10,0,0.45548834279299405
196,1,3.3070846913488943,1,8,10,0,0.39309722019814286
197,1,1.471772509544114,0,6,8,0,0.012311909841014535
